Update Date,Yr,Mnth,Inflation Value,YoY Value,MoM Value,3 Month Trend
2026-02-02,1940,12,8.2,5.1282051282051215,1.2345679012345634,4.27350427350427
2026-02-02,1941,1,8.2,5.1282051282051215,0.0,4.700854700854696
2026-02-02,1941,2,8.2,5.1282051282051215,0.0,5.1282051282051215
2026-02-02,1941,3,8.2,3.797468354430366,0.0,4.684626203613536
2026-02-02,1941,4,8.2,3.797468354430366,0.0,4.241047279021951
2026-02-02,1941,5,8.2,3.797468354430366,0.0,3.797468354430366
2026-02-02,1941,6,8.4,6.329113924050632,2.4390243902439157,4.6413502109704545
2026-02-02,1941,7,8.5,6.25,1.1904761904761862,5.458860759493667
2026-02-02,1941,8,8.6,7.499999999999996,1.17647058823529,6.693037974683542
2026-02-02,1941,9,8.7,7.407407407407403,1.1627906976744147,7.052469135802466
2026-02-02,1941,10,8.7,7.407407407407403,0.0,7.438271604938268
2026-02-02,1941,11,8.8,8.641975308641989,1.1494252873563382,7.818930041152265
2026-02-02,1941,12,8.7,6.097560975609757,-1.1363636363636525,7.382314563886383
2026-02-02,1942,1,8.7,6.097560975609757,0.0,6.9456990866205
2026-02-02,1942,2,8.7,6.097560975609757,0.0,6.097560975609757
2026-02-02,1942,3,8.8,7.3170731707317245,1.1494252873563382,6.5040650406504135
2026-02-02,1942,4,8.8,7.3170731707317245,0.0,6.910569105691068
2026-02-02,1942,5,8.8,7.3170731707317245,0.0,7.3170731707317245
2026-02-02,1942,6,8.8,4.761904761904765,0.0,6.465350367789405
2026-02-02,1942,7,8.9,4.70588235294118,1.1363636363636322,5.594953428525891
2026-02-02,1942,8,8.9,3.4883720930232642,0.0,4.318719735956404
2026-02-02,1942,9,8.8,1.1494252873563382,-1.1235955056179736,3.114559911106928
2026-02-02,1942,10,8.9,2.298850574712656,1.1363636363636322,2.3122159850307527
2026-02-02,1942,11,9.0,2.2727272727272645,1.1235955056179736,1.9070010449320864
2026-02-02,1942,12,9.0,3.4482758620689737,0.0,2.673284569836298
2026-02-02,1943,1,8.8,1.1494252873563382,-2.2222222222222143,2.2901428073841923
2026-02-02,1943,2,8.8,1.1494252873563382,0.0,1.91570881226055
2026-02-02,1943,3,8.8,0.0,0.0,0.7662835249042255
2026-02-02,1943,4,9.0,2.2727272727272645,2.2727272727272645,1.1407175200278676
2026-02-02,1943,5,9.0,2.2727272727272645,0.0,1.5151515151515096
2026-02-02,1943,6,9.0,2.2727272727272645,0.0,2.2727272727272645
2026-02-02,1943,7,9.1,2.2471910112359472,1.1111111111111072,2.264215185563492
2026-02-02,1943,8,9.1,2.2471910112359472,0.0,2.2557030983997195
2026-02-02,1943,9,9.2,4.545454545454529,1.098901098901095,3.0132788559754746
2026-02-02,1943,10,9.2,3.370786516853921,0.0,3.387810691181466
2026-02-02,1943,11,9.2,2.2222222222222143,0.0,3.3794877615102212
2026-02-02,1943,12,9.2,2.2222222222222143,0.0,2.6050769870994497
2026-02-02,1944,1,9.1,3.409090909090897,-1.0869565217391266,2.6178451178451088
2026-02-02,1944,2,9.1,3.409090909090897,0.0,3.013468013468003
2026-02-02,1944,3,9.1,3.409090909090897,0.0,3.409090909090897
2026-02-02,1944,4,9.1,1.1111111111111072,0.0,2.643097643097634
2026-02-02,1944,5,9.1,1.1111111111111072,0.0,1.8771043771043707
2026-02-02,1944,6,9.1,1.1111111111111072,0.0,1.1111111111111072
2026-02-02,1944,7,9.1,0.0,0.0,0.7407407407407381
2026-02-02,1944,8,9.1,0.0,0.0,0.3703703703703691
2026-02-02,1944,9,9.1,-1.0869565217391266,0.0,-0.36231884057970887
2026-02-02,1944,10,9.1,-1.0869565217391266,0.0,-0.7246376811594177
2026-02-02,1944,11,9.1,-1.0869565217391266,0.0,-1.0869565217391266
2026-02-02,1944,12,9.0,-2.173913043478253,-1.098901098901095,-1.4492753623188355
2026-02-02,1945,1,9.0,-1.098901098901095,0.0,-1.4532568880394916
2026-02-02,1945,2,9.1,0.0,1.1111111111111072,-1.0909380474597827
2026-02-02,1945,3,9.1,0.0,0.0,-0.36630036630036483
2026-02-02,1945,4,9.1,0.0,0.0,0.0
2026-02-02,1945,5,9.1,0.0,0.0,0.0
2026-02-02,1945,6,9.2,1.098901098901095,1.098901098901095,0.36630036630036517
2026-02-02,1945,7,9.2,1.098901098901095,0.0,0.7326007326007301
2026-02-02,1945,8,9.2,1.098901098901095,0.0,1.098901098901095
2026-02-02,1945,9,9.2,1.098901098901095,0.0,1.098901098901095
2026-02-02,1945,10,9.2,1.098901098901095,0.0,1.098901098901095
2026-02-02,1945,11,9.2,1.098901098901095,0.0,1.098901098901095
2026-02-02,1945,12,9.2,2.2222222222222143,0.0,1.473341473341468
2026-02-02,1946,1,9.2,2.2222222222222143,0.0,1.8477818477818413
2026-02-02,1946,2,9.2,1.098901098901095,0.0,1.8477818477818413
2026-02-02,1946,3,9.2,1.098901098901095,0.0,1.473341473341468
2026-02-02,1946,4,9.2,1.098901098901095,0.0,1.098901098901095
2026-02-02,1946,5,9.2,1.098901098901095,0.0,1.098901098901095
2026-02-02,1946,6,9.4,2.1739130434782727,2.1739130434782727,1.4572384137601544
2026-02-02,1946,7,9.5,3.2608695652173996,1.0638297872340388,2.1778945691989224
2026-02-02,1946,8,9.6,4.347826086956526,1.0526315789473648,3.2608695652173996
2026-02-02,1946,9,9.6,4.347826086956526,0.0,3.9855072463768173
2026-02-02,1946,10,9.7,5.434782608695652,1.041666666666663,4.710144927536235
2026-02-02,1946,11,9.7,5.434782608695652,0.0,5.072463768115944
2026-02-02,1946,12,9.7,5.434782608695652,0.0,5.434782608695652
2026-02-02,1947,1,9.7,5.434782608695652,0.0,5.434782608695652
2026-02-02,1947,2,9.7,5.434782608695652,0.0,5.434782608695652
2026-02-02,1947,3,9.8,6.521739130434799,1.0309278350515612,5.797101449275368
2026-02-02,1947,4,9.9,7.608695652173925,1.0204081632653024,6.521739130434792
2026-02-02,1947,5,10.1,9.78260869565218,2.0202020202020132,7.971014492753635
2026-02-02,1947,6,10.2,8.51063829787233,0.9900990099009866,8.633980881899477
2026-02-02,1947,7,10.3,8.421052631578956,0.9803921568627592,8.904766541701155
